Year,Count
1900,15959
1901,17506
1902,18075
1903,16555
1904,19318
1905,18486
1906,17675
1907,19508
1908,20847
1909,21701
1910,20781
1911,20504
1912,22688
1913,22626
1914,21190
1915,19116
1916,19572
1917,18263
1918,16499
1919,18542
1920,22950
1921,25381
1922,25820
1923,30063
1924,31752
1925,32286
1926,32621
1927,35654
1928,38993
1929,39189
1930,42998
1931,42070
1932,43441
1933,43710
1934,44200
1935,44603
1936,46915
1937,46080
1938,46870
1939,45455
1940,41007
1941,41072
1942,37715
1943,35146
1944,32125
1945,51220
1946,61664
1947,72751
1948,81803
1949,90748
1950,97529
1951,102475
1952,106673
1953,108515
1954,113949
1955,100346
1956,115701
1957,122848
1958,133942
1959,137330
1960,152292
1961,179267
1962,188095
1963,196106
1964,221271
1965,288753
1966,327167
1967,349344
1968,364851
1969,399384
1970,405709
1971,420089
1972,448565
1973,459029
1974,495345
1975,566369
1976,606671
1977,683684
1978,703922
1979,728891
1980,749425
1981,775628
1982,810977
1983,875161
1984,893747
1985,893602
1986,909520
1987,922071
1988,917096
1989,927432
1990,1006253
1991,1046015
1992,1060486
1993,1102255
1994,1161079
1995,1211839
1996,1269868
1997,1303361
1998,1314943
1999,1303498
2000,1347959
2001,1326619
2002,1372754
2003,1437469
2004,1533114
2005,1653782
2006,1741184
2007,1888316
2008,2005585
2009,2122744
2010,2097658
2011,2196120
2012,2306930
2013,2403855
2014,2373437
2015,1944811
2016,2368376
2017,2446099
